"","alpha","lambda","RMSE"
"1",0,0,0.117741537854664
"2",0,0.2,0.115844799542833
"3",0,0.4,0.119725797867794
"4",0,0.6,0.124441735914751
"5",0,0.8,0.129306085984421
"6",0,1,0.134140604405808
"7",0.2,0,0.1228608091485
"8",0.2,0.2,0.155784291598383
"9",0.2,0.4,0.201218860655002
"10",0.2,0.6,0.244992068843171
"11",0.2,0.8,0.287642876896105
"12",0.2,1,0.32597768480887
"13",0.4,0,0.122829458936751
"14",0.4,0.2,0.18998759507872
"15",0.4,0.4,0.270101129946755
"16",0.4,0.6,0.342373434796244
"17",0.4,0.8,0.39303955054075
"18",0.4,1,0.397703391333661
"19",0.6,0,0.122786518260124
"20",0.6,0.2,0.222009123814942
"21",0.6,0.4,0.330217816577275
"22",0.6,0.6,0.397703391333661
"23",0.6,0.8,0.397703391333661
"24",0.6,1,0.397703391333661
"25",0.8,0,0.122809671332801
"26",0.8,0.2,0.252830216628033
"27",0.8,0.4,0.390699759843233
"28",0.8,0.6,0.397703391333661
"29",0.8,0.8,0.397703391333661
"30",0.8,1,0.397703391333661
"31",1,0,0.122866034382657
"32",1,0.2,0.279376675188388
"33",1,0.4,0.397703391333661
"34",1,0.6,0.397703391333661
"35",1,0.8,0.397703391333661
"36",1,1,0.397703391333661
